date, 2016-9-30, 2016-06-30, 2016-03-31,	2015-12-31,	2015-09-30
salesByQ, 32714.00,	30404.00,	29128.00,	35747.00,	25358.00
grossprofitByQ, 11454.00,	11224.00,	10262.00,	11406.00,	8603.00
ebitdaByQ, 2693, 3204, 3000, 2805, 1962
netincomeByQ, 252.00,	857.00,	513.00,	482.00,	79.00
epsByQ, 0.52,	1.77,	1.07,	1.00,	0.17
