year, 2015Y, 2014Y, 2013Y, 2012Y
salesByY, 107006.00,	88988.00,	74452.00,	61093.00
grossprofitByY, 35355.00,	26236.00,	20271.00,	15122.00
ebitdaByY, 8308, 4845, 3900, 2795
netincomeByY, 596.00,	-241.00,	274.00,	-39.00
epsByY, 1.25,	-0.52,	0.59,	-0.09
