date, 2016-9-30, 2016-06-30, 2016-03-31,	2015-12-31,	2015-09-30
salesByQ, 22451.00,	21500.00,	20257.00,	21329.00,	18675.00
grossprofitByQ, 13752.00,	13370.00,	12609.00,	13141.00,	11638.00
ebitdaByQ, 7670, 7641, 6530, 6630, 6165
netincomeByQ, 5061.00,	4877.00,	4207.00,	4923.00,	3979.00
epsByQ, 7.75,	7.00,	6.02,	7.06,	5.73
