year, 2015Y, 2014Y, 2013Y, 2012Y
salesByY, 74989.00,	66001.00,	55519.00,	46039.00
grossprofitByY, 46825.00,	40688.00,	33526.00,	28863.00
ebitdaByY, 24818, 22339, 18518, 16432
netincomeByY,16348.00,	14136.00,	12733.00,	10737.00
epsByY,22.84,	20.26,	17.92,	17.16
