year, 2015Y, 2014Y, 2013Y, 2012Y
salesByY, 81741.00,	92793.00,	98367.00,	102874.00,
grossprofitByY, 40684.00,	46407.00,	48684.00,	50361.00
ebitdaByY, 20268, 24962, 25324, 27675
netincomeByY,13190.00,	12023.00,	16483.00,	16604.00
epsByY,13.90,	16.85,	16.00,	14.71
