date, 2016-9-30, 2016-06-30, 2016-03-31,	2015-12-31,	2015-09-30
salesByQ,19226.00,	20238.00,	18684.00,	22059.00,	19280.00
grossprofitByQ, 9013.00,	9702.00,	8685.00,	11407.00,	9436.00
ebitdaByQ, 4548, 4319, 2205, 6217, 4674
netincomeByQ, 2853.00,	2505.00,	2014.00,	4464.00,	2950.00
epsByQ, 2.80,	2.41,	2.98,	4.87,	2.98
