year, 2015Y, 2014Y, 2013Y, 2012Y
salesByY, 17928.00,	12466.00,	7872.00,	5089.00
grossprofitByY, 15061.00,	10313.00,	5997.00,	3725.00
ebitdaByY, 8162, 6176, 3821, 1194
netincomeByY,3688.00,	2940.00,	1500.00,	53.00
epsByY, 1.29,	1.10,	0.60,	0.01
