date, 2016-9-30, 2016-06-30, 2016-03-31,	2015-12-31,	2015-09-30
salesByQ,7011.00,6436.00,5382.00,5841.00,4501.00
grossprofitByQ, 6024.00,	5520.00,	4544.00,	5017.00,	3781.00
ebitdaByQ, 3713, 3331, 2561, 3095, 1459
netincomeByQ, 2379.00,	2055.00,	1510.00,	1561.00,	896.00
epsByQ, 0.82,	0.71,	0.52,	0.54,	0.31
